,49
0,0.9999995552182067
1,1.0036489511535933
2,1.0057426021663611
3,1.0078309845747215
4,1.0099140941773068
5,1.0119919307355196
6,1.0140697686349727
7,1.0161423376404566
8,1.0182096090996504
9,1.0202716405151002
10,1.0223283800887963
11,1.0243851293053579
12,1.0264365947147367
13,1.0284827896645645
14,1.0305237085149184
15,1.0325646469346734
16,1.0346002777429697
17,1.0366306680660076
18,1.0386557757536945
19,1.0406808794654638
20,1.0427007099119805
21,1.0447152673603033
22,1.046724554912009
23,1.0487338370598525
24,1.050737848402315
25,1.0527365888104785
26,1.0547300629507848
27,1.056723518696679
28,1.0587117129838373
